title,company,location,description,link
Senior AI Engineer I,Careem,"Lahore, Pakistan","Careem is building the Everything App to simplify everyday life across the Middle East by offering seamless services such as transportation,..",https://www.rozee.pk/senior-ai-engineer-i-lahore-jobs-1671308?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1671308&utm_campaign=ROZEE.PK_job_search
Data Scientist,Wuwi Inc,"Shanghai, China","Data Science professionals are highly in demand in China, with companies actively seeking international talent to drive innovation in AI, an..",https://www.rozee.pk/data-scientist-shanghai-jobs-1664496?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1664496&utm_campaign=ROZEE.PK_job_search
Data Scientist / Data Analyst,California Chemical,"Karachi, Pakistan","California Chemical, a leading U.S.-based chemical company with its regional office in Karachi, is actively seeking a well-experienced Data ..",https://www.rozee.pk/california-chemical-data-scientist-data-analyst-karachi-jobs-1663422?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1663422&utm_campaign=ROZEE.PK_job_search
Data Scientist,Macquarie Group,"All Cities, Pakistan","Join the Data Science, Analytics, and AI team at Macquarie Asset Management and become part of a dynamic, collaborative environment that dri..",https://www.rozee.pk/data-scientist-jobs-1650290?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1650290&utm_campaign=ROZEE.PK_job_search
Data Scientist,Venture Smarter,"Islamabad, Pakistan","As a Data Scientist, you will leverage your skills and expertise in data science, machine learning, and artificial intelligence to extract ..",https://www.rozee.pk/venture-smarter-data-scientist-islamabad-jobs-1649820?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1649820&utm_campaign=ROZEE.PK_job_search
Lead Data Scientist,Teradata,"Islamabad, Pakistan",Teradata is a leading cloud analytics and data platform company dedicated to empowering organizations with better information to drive confi..,https://www.rozee.pk/lead-data-scientist-islamabad-jobs-1652250?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1652250&utm_campaign=ROZEE.PK_job_search
Data Analyst / Scientist,VizPro,"Lahore, Pakistan","Analyze, collect, clean, and organize datasets from various sources.Analyze complex datasets to identify trends, patterns, and actionable in..",https://www.rozee.pk/vizpro-data-analyst-scientist-lahore-jobs-1672006?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1672006&utm_campaign=ROZEE.PK_job_search
Machine Learning Engineer,Consultancy Outfit,"Lahore, Pakistan","Consultancy Outfit is a UK-based software solution provider that provides secured and compatible ERP and HRM solutions for an organization, ..",https://www.rozee.pk/consultancy-outfit-machine-learning-engineer-lahore-jobs-1650286?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1650286&utm_campaign=ROZEE.PK_job_search
Senior Machine Learning Engineer,ServiceNow,"Hyderabad, Pakistan","Based in Hyderabad with flexible work options, this role presents an exciting opportunity to join ServiceNow’s Core-LLM platform team, a lea..",https://www.rozee.pk/senior-machine-learning-engineer-hyderabad-jobs-1661292?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1661292&utm_campaign=ROZEE.PK_job_search
Machine Learning / Data Analyst Manager,Convo,"Islamabad, Pakistan",CONVO is looking for a skilled and experienced Machine Learning/Data Analyst Manager to lead and grow our team of data analysts and machine ..,https://www.rozee.pk/machine-learning-data-analyst-manager-islamabad-jobs-1657144?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1657144&utm_campaign=ROZEE.PK_job_search
Senior Staff Machine Learning Engineer,Experian Information Solutions,All Cities,"As a Staff Machine Learning Engineer at Experian, you will lead AI initiatives and independently develop innovative solutions that improve d..",https://www.rozee.pk/senior-staff-machine-learning-engineer-jobs-1661296?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1661296&utm_campaign=ROZEE.PK_job_search
Computer Vision Engineer,Motive,"All Cities, Pakistan","Motive is dedicated to empowering those who manage physical operations by providing tools that enhance safety, productivity, and profitabili..",https://www.rozee.pk/computer-vision-engineer-jobs-1659242?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1659242&utm_campaign=ROZEE.PK_job_search
AI Specialist,Wuwi Inc,"Shanghai, China",We are offering a highly skilled AI Specialist the chance to secure a Work Permit for China or USA. AI is one of the most in-demand fields g..,https://www.rozee.pk/wuwi-inc-ai-specialist-shanghai-jobs-1671948?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1671948&utm_campaign=ROZEE.PK_job_search
Machine Learning Specialist,Contour Software,"Lahore, Pakistan","About Contour & Constellation: Contour Software is a wholly owned subsidiary of Constellation Software Inc. (CSI), which acquires..",https://www.rozee.pk/contour-software-machine-learning-specialist-jobs-1542178.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1542178&utm_campaign=ROZEE.PK_job_search
Senior AI Engineer I,Careem,"Karachi, Pakistan","Careem is building the Everything App to transform daily life across the Middle East by simplifying transportation, food and grocery orderin..",https://www.rozee.pk/senior-ai-engineer-i-karachi-jobs-1672202?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1672202&utm_campaign=ROZEE.PK_job_search
Senior AI Engineer I,Careem,"Karachi, Pakistan","Careem is building the Everything App to simplify everyday life across the Middle East by integrating transportation, food and grocery deliv..",https://www.rozee.pk/senior-ai-engineer-i-karachi-jobs-1659926?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1659926&utm_campaign=ROZEE.PK_job_search
Senior AI Engineer I,Careem,"Karachi, Pakistan","Careem is building the Everything App to simplify daily life across the Middle East by integrating transportation, food and grocery ordering..",https://www.rozee.pk/senior-ai-engineer-i-karachi-jobs-1672678?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1672678&utm_campaign=ROZEE.PK_job_search
Senior AI Engineer I,Careem,"Karachi, Pakistan","Careem is building the Everything App for the greater Middle East, aiming to simplify everyday life through seamless transportation, food an..",https://www.rozee.pk/senior-ai-engineer-i-karachi-jobs-1664558?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1664558&utm_campaign=ROZEE.PK_job_search
AI / ML Developer,Kings Code,"Lahore, Pakistan","We are looking for a talented AI/ML Developer to join our team at 7 KINGS CODE, a US-based IT staffing and software solutions company with a..",https://www.rozee.pk/ai-ml-developer-lahore-jobs-1670212?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1670212&utm_campaign=ROZEE.PK_job_search
Senior AI Engineer I,Careem,"Lahore, Pakistan","Careem is building the Everything App for the Middle East, designed to simplify everyday life by integrating transportation, food and grocer..",https://www.rozee.pk/senior-ai-engineer-i-lahore-jobs-1664622?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1664622&utm_campaign=ROZEE.PK_job_search
Senior AI Engineer I,Careem,"Lahore, Pakistan","Careem is building the Everything App to simplify everyday life across the Middle East by offering seamless services such as transportation,..",https://www.rozee.pk/senior-ai-engineer-i-lahore-jobs-1671308?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1671308&utm_campaign=ROZEE.PK_job_search
